File	Dimensions	Color_Mode
01_Core_Key_Art/01_Game_Key_Art_Bureaucratic_Dragon_16x9.png	1672x941	RGB
01_Core_Key_Art/02_Game_Icon_Quill_and_Wooden_Sword_Square.png	1254x1254	RGB
02_Map_and_Encounters/03_Five_Stop_Fantasy_Map_16x9.png	1672x941	RGB
02_Map_and_Encounters/04_Passive_Aggressive_Troll.png	1254x1254	RGB
02_Map_and_Encounters/05_Goblin_HR_Department.png	1254x1254	RGB
02_Map_and_Encounters/06_Mimic_Suggestion_Box.png	1254x1254	RGB
02_Map_and_Encounters/07_Bridge_of_Needlessly_Complicated_Riddles_16x9.png	1672x941	RGB
02_Map_and_Encounters/08_Final_Boss_Red_Tape_Dragon.png	1254x1254	RGB
03_Cards_and_UI/09_Charm_Card_Radiant_Handshake.png	1254x1254	RGB
03_Cards_and_UI/10_Scheme_Card_Conspiracy_Board.png	1254x1254	RGB
03_Cards_and_UI/11_Bonk_Card_Oversized_Fantasy_Hammer.png	1254x1254	RGB
04_End_Screens/12_Victory_Tableau_16x9.png	1672x941	RGB
04_End_Screens/13_Defeat_Tableau_16x9.png	1672x941	RGB
05_Composites_and_Extras/14_UI_Assets_Composite_Success_Chaos_Heart_Avatars_Loading.png	1536x1024	RGBA
05_Composites_and_Extras/15_Concept_Composite_Bridge_Dragon_Victory_Avatars.png	1536x1024	RGB
05_Composites_and_Extras/16_Alternate_Charm_Card.png	1254x1254	RGB
05_Composites_and_Extras/17_Alternate_Scheme_Card.png	1254x1254	RGB
05_Composites_and_Extras/18_Alternate_Bonk_Card.png	1254x1254	RGB
01_Core_Key_Art/02_Game_Icon_Quill_and_Wooden_Sword_Square_v2.png	1254x1254	RGB
02_Map_and_Encounters/04_Passive_Aggressive_Troll_v2.png	1254x1254	RGB
02_Map_and_Encounters/05_Goblin_HR_Department_v2.png	1254x1254	RGB
02_Map_and_Encounters/06_Mimic_Suggestion_Box_v2.png	1254x1254	RGB
02_Map_and_Encounters/08_Final_Boss_Red_Tape_Dragon_v2.png	1254x1254	RGB
